Fighter,Peak_Elo,Peak_Elo_Year,Current_Elo,Matches
Uanderson Ferreira,1889.62,2024,1876.27,123
Javier Zaruski,1899.21,2024,1874.98,44
Eoghan O'Flanagan,1896.32,2024,1873.94,70
Helder Junior,1872.9,2025,1872.9,69
Erberth Santos,1943.94,2017,1871.87,106
Tim Spriggs,1870.71,2021,1870.71,98
Samuel Nagai,1895.04,2024,1869.03,75
Lucas Valente,1867.02,2024,1867.02,78
Owen Jones,1866.55,2025,1866.55,15
Alexandre De Jesus,1880.83,2025,1865.53,139
Livio Ribeiro,1864.78,2022,1864.78,51
Paulo Miyao,2011.42,2018,1864.54,249
Joao Rocha,1867.31,2024,1863.99,64
Rubens Charles,1861.61,2017,1861.61,22
Anna Rodrigues,1906.9,2024,1861.49,111
Kennedy Maciel,1913.6,2024,1861.05,144
"Joao Mendes ""Bisnaga""",1858.46,2025,1858.46,123
"Gabrielle ""Gabi"" Garcia",1974.51,2015,1858.44,82
Thalison Soares,1888.71,2024,1857.2,73
Alexander Trans,1857.01,2023,1857.01,99
Enderson Dias,1859.77,2025,1853.29,79
Victor Honorio,1902.04,2018,1852.54,117
Matheus Diniz,1864.27,2020,1852.23,123
Mikey Musumeci,1848.89,2025,1848.89,27
Bianca Basilio,1890.34,2024,1848.82,149
Nolan Stuart,1856.62,2025,1848.52,35
Helena Crevar,1862.79,2025,1848.32,30
Luis Oliveira Cantareira,1863.75,2025,1846.33,98
Fabio Caloi,1844.89,2024,1844.89,140
Carlos Henrique,1844.17,2025,1844.17,95
Elijah Dorsey,1897.32,2024,1842.13,83
Keith Krikorian,1919.46,2022,1841.06,85
Braulio Estima,1912.29,2009,1840.69,80
Bruno Malfacine,1892.56,2019,1839.78,80
Kenta Iwamoto,1839.67,2025,1839.67,30
Ethan Crelinsten,1860.34,2025,1838.93,72
Pedro Alex,1869.97,2023,1838.47,151
Andressa Cintra,1836.34,2024,1836.34,13
Julia Alves,1912.51,2024,1834.18,109
Michael Liera Junior,1837.7,2020,1832.93,160
Thalyta Silva,1832.11,2025,1832.11,87
Matheus Vetoraci,1872.08,2025,1830.96,35
Levi Jones-Leary,1845.83,2024,1828.15,78
Max Gimenis,1851.89,2021,1825.94,153
Khaled Alshehi,1825.48,2025,1825.48,52
Jackson Nagai,1846.06,2025,1822.4,51
Oliver Taza,1959.48,2023,1820.38,237
Ashley Williams,1843.44,2023,1818.44,89
Jozef Chen,1845.0,2024,1817.2,33
Marcus Ribeiro,1874.2,2024,1816.97,113
Kaua Gabriel Barbosa,1846.97,2024,1816.39,49
John Combs,1851.9,2024,1815.74,195
Rider Zuchi,1914.36,2023,1815.38,137
Alexandre Jesus,1826.74,2025,1815.13,58
Igor Tanabe,1829.76,2025,1814.76,30
Isaac Doederlein,1879.16,2023,1814.75,168
Paul Ardila-Ibarra,1868.96,2023,1813.42,58
Elisabeth Clay,1837.65,2025,1812.99,118
Ingridd Alves,1854.26,2024,1812.93,146
Rolando Samson,1819.13,2025,1812.08,68
Andy Varela,1842.14,2024,1812.08,73
Alex Sodre,1825.81,2025,1810.03,150
Andre Porfirio,1887.71,2024,1809.62,169
Michael Langhi,1839.57,2018,1808.56,105
Mahamed Aly,1868.71,2019,1808.13,136
Morgan Black,1874.43,2024,1808.1,34
"Edwin ""Junny"" Ocasio",1842.11,2025,1808.03,91
Luccas Lira,1843.92,2024,1807.28,52
Thamara Ferreira,1805.46,2025,1805.46,78
Brianna Ste-Marie,1892.71,2022,1804.4,66
Leonardo Mario,1816.5,2025,1803.43,51
Gabriel Arges,1849.31,2019,1802.89,46
Max Hanson,1832.14,2023,1802.83,103
Jay Rodriguez,1855.92,2022,1802.43,48
Tarik Hopstock,1826.04,2025,1802.28,89
Jonas Andrade,1801.83,2025,1801.83,126
Catriel Oliveira,1890.71,2024,1801.47,104
Steffen Banta,1799.25,2025,1799.25,20
Tye Ruotolo,1808.78,2024,1798.36,39
Kendall Reusing,1797.16,2024,1797.16,62
Gianni Grippo,1917.92,2019,1796.67,353
Jamil Hill-Taylor,1842.93,2021,1796.0,79
Diego Sodre,1813.17,2025,1795.89,48
Dimitrius Souza,1893.04,2017,1794.08,178
Pj Barch,1850.93,2022,1793.87,115
Israel Sousa,1832.98,2024,1792.23,59
Rafael Trabuco,1792.23,2025,1792.23,33
Josh Hinger,1803.71,2019,1790.42,49
Rafaela Guedes,1806.9,2024,1789.39,46
Nathalie Ribeiro,1789.18,2024,1789.18,33
Amy Campo,1930.27,2022,1788.1,65
Yago De Souza,1867.18,2021,1787.99,70
Pedro Machado,1824.88,2024,1787.76,109
Kyle Boehm,1791.6,2022,1787.28,21
Marcio Andre,1846.08,2018,1785.2,65
Margot Ciccarelli,1836.14,2024,1784.6,83
Garry Tonon,1821.71,2020,1784.16,102
Jefferson Goteu,1794.71,2024,1783.35,68
Aurelie Le Vern,1897.85,2025,1782.6,58
Felipe Bezerra,1794.28,2025,1782.48,55
Hugo Marques,1814.63,2019,1782.41,104
Alex Nguyen,1791.0,2024,1781.86,33
Israel De Sousa Almeida,1874.34,2023,1781.4,129
Pedro Henrique Rocha,1795.46,2024,1781.0,65
Seif-Eddine Houmine,1794.43,2024,1780.97,69
Mateus Rodrigues,1850.86,2024,1780.68,106
Fernando Reis,1837.29,2019,1780.64,110
Alan Sanchez,1780.57,2024,1780.57,66
Gabriel Brod,1841.78,2024,1778.8,75
Gabriel Galvao,1781.11,2025,1775.59,37
Maria Ruffatto,1795.57,2025,1774.86,37
Cleber Sousa,1804.45,2018,1773.4,180
Roger Gracie,1772.92,2017,1772.92,12
Beatriz Mesquita,1781.63,2024,1772.3,32
Leonardo Ferreira,1779.16,2025,1771.63,29
Guilherme Augusto,1801.98,2023,1771.29,151
Renato Canuto,1771.07,2025,1771.07,51
Francisco Lo,1805.38,2024,1770.35,119
Paulo Merlin,1769.4,2025,1769.4,45
Richar Nogueira,1784.7,2022,1767.32,159
Joao Mendes,1763.53,2025,1763.53,56
Everton Souza Teixeira,1775.61,2025,1762.83,30
Davi Cabral,1832.51,2022,1762.55,73
Elder Cruz,1895.64,2024,1762.54,131
Natan Chueng,1787.68,2024,1762.06,153
Jeferson Guaresi,1770.63,2022,1761.55,73
Yan Lucas,1780.88,2025,1760.8,211
Alexandre Ribeiro,1798.78,2016,1760.0,60
Matheus Spirandeli,1789.42,2020,1759.65,127
Patrick Gaudio,1860.49,2021,1759.48,201
Luis Oliveira,1769.36,2025,1759.48,36
Keven Carrasco,1759.16,2025,1759.16,65
Augusto Mendes,1758.41,2021,1758.41,38
Javier Barter,1791.1,2024,1758.08,67
Ademir Barreto Araujo,1761.83,2025,1757.84,76
Julian Espinosa,1829.31,2024,1757.84,108
Devhonte Johnson,1778.38,2022,1757.7,146
Ana Vieira,1762.89,2024,1757.66,27
Josh Cisneros,1820.97,2022,1757.33,71
